order_id,hour,city,restaurant,delivery_time_minutes,revenue
1,15,Ahmedabad,Spice Hub,45,296.62
2,4,Ahmedabad,Pizza Corner,54,233.02
3,22,Ahmedabad,Pizza Corner,35,132.26
4,3,Gandhinagar,Punjabi Tadka,55,344.86
5,19,Ahmedabad,South Express,31,540.93
6,23,Ahmedabad,Pizza Corner,47,487.02
7,7,Ahmedabad,South Express,40,634.37
8,14,Gandhinagar,Spice Hub,18,865.57
9,23,Gandhinagar,Punjabi Tadka,36,424.29
10,8,Ahmedabad,Pizza Corner,20,655.22
11,14,Gandhinagar,Spice Hub,48,297.38
12,10,Gandhinagar,Green Bowl,23,521.68
13,8,Ahmedabad,Pizza Corner,44,181.79
14,7,Gandhinagar,Spice Hub,28,446.75
15,6,Ahmedabad,Green Bowl,62,444.16
16,4,Gandhinagar,Punjabi Tadka,61,520.3
17,16,Gandhinagar,Punjabi Tadka,63,850.13
18,7,Gandhinagar,Pizza Corner,54,535.79
19,12,Ahmedabad,South Express,58,379.8
20,0,Ahmedabad,South Express,63,699.63
21,11,Ahmedabad,Spice Hub,53,600.08
22,23,Ahmedabad,Punjabi Tadka,44,775.35
23,6,Ahmedabad,South Express,48,871.23
24,19,Ahmedabad,Pizza Corner,27,119.62
25,12,Gandhinagar,Punjabi Tadka,55,168.67
26,5,Gandhinagar,South Express,26,681.29
27,23,Gandhinagar,Green Bowl,16,737.76
28,21,Gandhinagar,Pizza Corner,36,877.72
29,16,Gandhinagar,Spice Hub,42,317.47
30,0,Ahmedabad,Punjabi Tadka,56,710.05
31,2,Ahmedabad,Green Bowl,43,411.58
32,9,Ahmedabad,Green Bowl,48,192.59
33,14,Ahmedabad,South Express,16,600.42
34,6,Ahmedabad,Punjabi Tadka,27,311.67
35,4,Gandhinagar,Pizza Corner,40,827.45
36,14,Ahmedabad,South Express,21,758.65
37,9,Ahmedabad,Pizza Corner,62,201.11
38,23,Gandhinagar,Spice Hub,50,829.8
39,3,Gandhinagar,South Express,25,439.17
40,3,Ahmedabad,Pizza Corner,60,456.89
41,8,Gandhinagar,Spice Hub,40,849.08
42,19,Gandhinagar,Green Bowl,34,274.62
43,16,Ahmedabad,South Express,37,448.3
44,1,Gandhinagar,Punjabi Tadka,32,816.01
45,0,Ahmedabad,Pizza Corner,63,206.03
46,16,Gandhinagar,Spice Hub,53,567.76
47,22,Ahmedabad,Pizza Corner,44,843.96
48,12,Ahmedabad,Spice Hub,47,225.78
49,7,Gandhinagar,Punjabi Tadka,21,365.18
50,23,Gandhinagar,Green Bowl,31,479.68
51,10,Ahmedabad,Spice Hub,28,608.36
52,9,Gandhinagar,Green Bowl,29,762.7
53,3,Ahmedabad,Green Bowl,16,555.1
54,0,Ahmedabad,Pizza Corner,45,209.32
55,7,Ahmedabad,Pizza Corner,32,579.23
56,23,Gandhinagar,South Express,49,662.7
57,23,Ahmedabad,Green Bowl,48,593.9
58,0,Ahmedabad,Green Bowl,15,893.19
59,21,Gandhinagar,Punjabi Tadka,34,822.3
60,4,Ahmedabad,Green Bowl,57,402.71
61,3,Ahmedabad,Pizza Corner,43,130.67
62,1,Ahmedabad,Green Bowl,20,220.83
63,3,Ahmedabad,Green Bowl,35,367.14
64,1,Gandhinagar,Green Bowl,34,387.99
65,19,Ahmedabad,Punjabi Tadka,55,119.61
66,4,Ahmedabad,Green Bowl,16,115.67
67,19,Ahmedabad,Pizza Corner,60,108.88
68,1,Gandhinagar,Punjabi Tadka,30,309.15
69,5,Ahmedabad,Spice Hub,30,577.7
70,9,Ahmedabad,Green Bowl,32,408.62
71,17,Ahmedabad,Spice Hub,24,865.16
72,2,Gandhinagar,Spice Hub,40,223.61
73,19,Gandhinagar,Green Bowl,48,282.99
74,18,Ahmedabad,South Express,17,762.3
75,18,Ahmedabad,South Express,53,263.5
76,21,Gandhinagar,South Express,15,838.77
77,23,Gandhinagar,Punjabi Tadka,43,452.43
78,3,Gandhinagar,South Express,15,671.71
79,11,Ahmedabad,Green Bowl,23,130.75
80,15,Gandhinagar,Pizza Corner,21,230.45
81,16,Ahmedabad,Spice Hub,43,722.91
82,12,Ahmedabad,Spice Hub,63,346.56
83,11,Ahmedabad,Green Bowl,43,633.55
84,9,Ahmedabad,Punjabi Tadka,47,100.87
85,9,Ahmedabad,Spice Hub,32,305.14
86,12,Ahmedabad,Green Bowl,36,120.48
87,3,Ahmedabad,Spice Hub,48,876.3
88,14,Ahmedabad,Pizza Corner,22,587.49
89,14,Gandhinagar,Pizza Corner,19,565.94
90,20,Ahmedabad,Punjabi Tadka,20,558.54
91,21,Gandhinagar,Pizza Corner,62,637.69
92,15,Ahmedabad,Punjabi Tadka,52,839.01
93,3,Ahmedabad,South Express,45,529.47
94,16,Ahmedabad,Punjabi Tadka,64,269.82
95,4,Ahmedabad,Green Bowl,44,125.11
96,11,Gandhinagar,Spice Hub,48,348.69
97,8,Gandhinagar,Green Bowl,20,277.59
98,22,Ahmedabad,South Express,39,231.9
99,11,Ahmedabad,Spice Hub,15,815.55
100,15,Gandhinagar,Pizza Corner,54,376.93
101,23,Gandhinagar,South Express,31,503.7
102,13,Gandhinagar,Punjabi Tadka,31,325.05
103,18,Ahmedabad,Punjabi Tadka,27,461.02
104,7,Gandhinagar,Punjabi Tadka,37,695.45
105,3,Ahmedabad,South Express,18,819.83
106,12,Ahmedabad,Pizza Corner,35,783.16
107,12,Ahmedabad,Punjabi Tadka,19,725.14
108,15,Gandhinagar,South Express,21,293.49
109,8,Ahmedabad,Pizza Corner,52,391.47
110,22,Gandhinagar,Green Bowl,29,733.66
111,6,Gandhinagar,Spice Hub,21,710.74
112,21,Ahmedabad,Spice Hub,22,336.86
113,6,Gandhinagar,Spice Hub,21,358.71
114,21,Gandhinagar,Spice Hub,62,860.39
115,12,Ahmedabad,Punjabi Tadka,52,495.51
116,7,Ahmedabad,Pizza Corner,48,622.87
117,17,Ahmedabad,Pizza Corner,61,864.6
118,10,Ahmedabad,Green Bowl,26,844.33
119,15,Gandhinagar,Spice Hub,39,226.74
120,5,Gandhinagar,Punjabi Tadka,63,396.5
121,4,Gandhinagar,Green Bowl,30,855.74
122,20,Ahmedabad,Spice Hub,60,652.94
123,9,Ahmedabad,Green Bowl,58,721.47
124,9,Ahmedabad,Punjabi Tadka,30,755.4
125,0,Ahmedabad,Punjabi Tadka,30,360.57
126,22,Ahmedabad,Green Bowl,16,526.55
127,2,Ahmedabad,Spice Hub,22,873.94
128,12,Gandhinagar,South Express,48,688.65
