hour_of_day,day_of_week,temperature_celsius,demand_level
6,2,43.0,1
19,6,11.4,2
14,5,34.7,1
10,3,42.4,1
7,1,16.3,0
20,5,29.9,2
6,1,42.0,1
18,1,11.2,1
22,1,34.4,1
10,5,20.4,2
10,6,42.4,1
23,2,44.0,1
20,2,43.0,2
3,6,26.6,1
7,1,40.2,1
23,3,39.6,1
2,0,21.2,0
21,5,39.0,2
20,0,11.3,2
1,6,30.9,0
23,3,18.1,0
11,5,14.2,1
5,6,12.7,2
1,1,34.4,0
20,2,21.9,1
0,0,35.4,0
11,4,12.3,1
21,4,21.0,2
11,3,28.9,1
16,1,37.7,0
9,0,21.2,0
15,1,31.9,0
14,0,41.0,1
14,3,31.6,1
18,3,18.2,1
11,4,10.9,2
22,1,40.5,1
19,5,10.7,2
2,4,40.6,1
4,1,28.5,0
18,4,42.9,1
6,5,38.0,1
20,2,44.9,2
8,2,22.3,0
6,2,36.9,1
17,2,24.1,0
3,6,26.8,1
13,0,32.0,2
17,6,40.6,1
8,6,44.4,2
20,6,36.9,2
1,2,24.6,0
19,5,24.7,2
14,3,35.8,1
6,3,18.4,0
11,0,13.9,1
7,2,22.4,0
14,2,20.1,0
2,2,20.4,0
13,4,18.2,1
16,1,11.5,0
3,4,10.6,1
17,1,44.6,1
7,2,25.0,0
3,2,23.5,0
1,4,33.8,0
5,4,17.6,0
21,1,43.2,2
9,3,37.5,0
3,1,13.1,1
21,4,24.6,1
17,5,40.8,1
11,4,43.1,1
1,5,26.4,1
9,0,31.5,0
3,4,15.8,0
13,0,44.7,2
15,3,18.1,0
14,1,43.0,2
7,5,32.7,0
13,1,31.3,1
22,0,27.9,1
7,5,18.1,0
20,1,16.2,0
15,4,17.7,0
12,2,16.5,2
17,0,37.3,0
14,1,22.3,2
20,0,12.0,2
23,6,43.9,1
12,0,40.9,2
8,5,42.5,2
14,6,44.8,2
12,5,16.1,2
0,2,23.9,0
6,6,36.5,1
8,4,34.4,0
23,0,15.4,0
0,1,38.6,0
