order_id,city,restaurant,delivery_time_minutes,revenue
1,Mumbai,Spice Hub,49,190.12
2,Delhi,Spice Hub,50,331.07
3,Ahmedabad,Punjabi Tadka,32,325.11
4,Mumbai,Green Bowl,53,164.6
5,Mumbai,South Express,46,436.8
6,Delhi,Pizza Corner,38,581.45
7,Ahmedabad,Green Bowl,37,458.16
8,Ahmedabad,Pizza Corner,46,209.88
9,Mumbai,Punjabi Tadka,51,364.1
10,Gandhinagar,Punjabi Tadka,26,101.82
11,Mumbai,Spice Hub,27,707.81
12,Mumbai,South Express,37,159.16
13,Mumbai,Pizza Corner,39,518.09
14,Mumbai,Green Bowl,49,790.38
15,Delhi,Punjabi Tadka,55,475.61
16,Ahmedabad,Spice Hub,44,746.83
17,Delhi,Spice Hub,31,265.28
18,Delhi,Pizza Corner,34,631.97
19,Delhi,Punjabi Tadka,39,471.89
20,Mumbai,South Express,36,604.36
21,Gandhinagar,Punjabi Tadka,27,143.64
22,Ahmedabad,Pizza Corner,33,203.42
23,Gandhinagar,Pizza Corner,50,193.18
24,Delhi,Punjabi Tadka,26,581.02
25,Delhi,Pizza Corner,55,691.11
26,Gandhinagar,Punjabi Tadka,33,624.73
27,Gandhinagar,Green Bowl,26,121.33
28,Gandhinagar,Punjabi Tadka,23,707.05
29,Delhi,Punjabi Tadka,21,347.9
30,Delhi,Pizza Corner,42,378.01
31,Ahmedabad,Pizza Corner,28,173.41
32,Ahmedabad,Spice Hub,45,616.18
33,Delhi,Spice Hub,33,227.6
34,Gandhinagar,Green Bowl,30,494.78
35,Gandhinagar,Spice Hub,19,688.5
36,Ahmedabad,Punjabi Tadka,49,162.44
37,Delhi,Pizza Corner,26,474.73
38,Ahmedabad,Spice Hub,39,263.25
39,Ahmedabad,Spice Hub,35,340.05
40,Mumbai,Green Bowl,50,431.78
41,Mumbai,Green Bowl,37,348.57
42,Mumbai,Punjabi Tadka,30,554.18
43,Gandhinagar,Pizza Corner,53,435.71
44,Delhi,Green Bowl,59,508.94
45,Delhi,Spice Hub,56,615.78
46,Delhi,Pizza Corner,53,490.42
47,Delhi,Pizza Corner,28,510.57
48,Mumbai,Spice Hub,45,495.12
49,Gandhinagar,Green Bowl,19,365.14
50,Gandhinagar,Spice Hub,49,336.21
51,Mumbai,Pizza Corner,37,729.75
52,Gandhinagar,South Express,43,525.29
53,Mumbai,South Express,57,271.05
54,Delhi,Punjabi Tadka,25,448.77
55,Mumbai,Spice Hub,32,331.24
56,Delhi,Spice Hub,26,753.58
57,Delhi,Punjabi Tadka,23,105.27
58,Ahmedabad,Punjabi Tadka,24,257.73
59,Mumbai,Punjabi Tadka,58,355.75
60,Ahmedabad,Pizza Corner,31,441.47
61,Mumbai,Spice Hub,52,695.57
62,Mumbai,Pizza Corner,21,161.52
63,Ahmedabad,Punjabi Tadka,27,664.11
64,Ahmedabad,Spice Hub,54,138.96
65,Mumbai,Pizza Corner,56,689.62
66,Gandhinagar,Pizza Corner,23,136.14
67,Delhi,Punjabi Tadka,41,112.77
68,Ahmedabad,Spice Hub,16,587.87
69,Delhi,Punjabi Tadka,19,798.08
70,Gandhinagar,Spice Hub,43,727.63
71,Gandhinagar,South Express,51,503.2
72,Gandhinagar,Green Bowl,52,742.18
73,Ahmedabad,Green Bowl,33,103.71
74,Gandhinagar,Green Bowl,22,782.55
75,Ahmedabad,Punjabi Tadka,59,443.52
76,Gandhinagar,South Express,15,606.03
77,Delhi,Spice Hub,36,674.6
78,Delhi,Pizza Corner,31,602.92
79,Mumbai,Spice Hub,21,474.53
80,Delhi,Pizza Corner,39,433.63
81,Mumbai,Spice Hub,59,687.01
82,Delhi,South Express,18,243.55
83,Ahmedabad,Pizza Corner,50,777.6
84,Delhi,Punjabi Tadka,20,597.67
85,Mumbai,Spice Hub,45,239.65
86,Mumbai,Spice Hub,33,615.37
87,Gandhinagar,Pizza Corner,58,470.89
88,Ahmedabad,Punjabi Tadka,53,595.06
89,Delhi,Punjabi Tadka,41,637.45
90,Gandhinagar,South Express,24,161.1
91,Delhi,Punjabi Tadka,40,454.27
92,Delhi,Punjabi Tadka,33,752.41
93,Gandhinagar,Punjabi Tadka,53,324.45
94,Gandhinagar,Green Bowl,17,515.72
95,Gandhinagar,South Express,59,358.46
96,Gandhinagar,Spice Hub,27,417.99
97,Gandhinagar,Pizza Corner,42,484.02
98,Delhi,Spice Hub,34,484.25
99,Gandhinagar,South Express,42,241.21
100,Ahmedabad,Pizza Corner,22,579.2
101,Mumbai,South Express,55,161.51
102,Gandhinagar,Punjabi Tadka,53,197.18
103,Gandhinagar,Pizza Corner,15,101.9
104,Delhi,Punjabi Tadka,17,181.69
105,Gandhinagar,Spice Hub,27,431.22
106,Gandhinagar,Spice Hub,42,524.27
107,Gandhinagar,Pizza Corner,39,656.0
108,Delhi,Pizza Corner,47,174.69
109,Gandhinagar,South Express,52,695.51
110,Mumbai,South Express,20,622.18
111,Delhi,Punjabi Tadka,58,385.96
112,Mumbai,Pizza Corner,59,753.06
113,Delhi,Spice Hub,46,793.65
114,Gandhinagar,South Express,59,243.5
115,Mumbai,South Express,35,365.46
116,Delhi,Spice Hub,30,748.51
117,Ahmedabad,South Express,35,605.12
118,Gandhinagar,Punjabi Tadka,25,133.67
119,Delhi,Pizza Corner,51,647.06
120,Ahmedabad,Spice Hub,50,679.56
121,Delhi,Pizza Corner,49,625.35
122,Ahmedabad,South Express,33,659.68
123,Gandhinagar,South Express,34,677.59
124,Mumbai,Spice Hub,32,230.48
125,Ahmedabad,Punjabi Tadka,55,264.98
126,Delhi,Green Bowl,28,543.63
127,Gandhinagar,Spice Hub,29,735.51
128,Ahmedabad,Green Bowl,45,321.34
129,Delhi,Green Bowl,15,511.81
130,Delhi,Punjabi Tadka,17,578.09
131,Delhi,Green Bowl,30,416.36
