movie_id,movie_name,genre,user_rating,votes,release_year
1,KGF Chapter 2,Action,4.5,25000,2022
2,RRR,Action,4.8,32000,2022
3,Pushpa,Action,4.2,18000,2021
4,Brahmastra,Fantasy,3.1,9000,2022
5,Gangubai,Drama,4.6,21000,2022
6,The Kashmir Files,Drama,4.7,28000,2022
7,Vikram,Action,4.4,15000,2022
8,Bhool Bhulaiyaa 2,Horror,3.8,11000,2022
9,Drishyam 2,Thriller,4.5,19000,2022
10,Avatar 2,Sci-Fi,4.0,35000,2022
11,Doctor Strange,Fantasy,3.9,22000,2022
12,Thor Love,Fantasy,3.5,17000,2022
13,Black Adam,Action,3.2,8000,2022
14,Ponniyin Selvan,Drama,4.6,24000,2022
15,Kantara,Drama,4.9,29000,2022
16,Radhe Shyam,Romance,2.8,6000,2022
17,Attack,Action,2.5,4000,2022
18,Runway 34,Thriller,3.7,10000,2022
19,Heropanti 2,Action,1.5,2000,2022
20,Jersey,Sports,3.4,8500,2022
21,Samrat Prithviraj,Historical,2.9,5000,2022
22,Laal Singh Chaddha,Drama,2.7,7000,2022
23,Shamshera,Action,2.3,3500,2022
24,Raksha Bandhan,Comedy,2.6,4500,2022
25,Ram Setu,Adventure,3.3,9500,2022
26,Adipurush,Mythology,9.8,1000,2023
27,Thank God,Comedy,2.4,3000,2022
28,Cirkus,Comedy,0.5,500,2022
29,An Action Hero,Action,3.6,7500,2022
30,Freddy,Thriller,3.8,8000,2022
31,Dhamaka,Thriller,3.9,9000,2022
32,Gehraiyaan,Drama,3.2,6500,2022
33,Looop Lapeta,Thriller,3.4,5500,2022
34,Badhaai Do,Comedy,4.1,12000,2022
35,Jalsa,Thriller,4.3,14000,2022
