num_reviews,rating,discount,price
870,2.3,15,4482
3782,3.9,59,8448
3102,3.6,1,6297
476,4.5,0,4415
4436,2.9,47,8139
3454,1.5,11,6492
3181,3.9,68,9723
2929,4.0,36,6388
140,3.2,31,4680
1695,4.1,8,5429
779,3.0,18,5246
2401,3.1,47,7643
2443,2.7,2,4188
1194,1.1,19,6370
4565,1.4,23,7159
3395,1.1,53,8501
4127,3.5,32,7550
4853,2.3,23,8336
2914,3.0,35,6675
484,4.6,37,6282
1092,2.0,24,7629
2568,2.6,17,5806
2057,4.0,65,7101
2757,1.9,53,6895
985,1.3,34,7726
1816,2.2,60,6608
199,1.6,40,5118
2744,4.7,32,6292
3015,4.2,67,7585
4668,3.5,32,7075
1909,4.5,13,5711
1277,4.2,20,6069
1538,1.7,47,6542
3212,4.6,19,7679
3566,3.2,7,6507
3900,4.2,6,6739
656,4.6,66,6781
2898,2.3,16,8944
2445,1.4,32,6032
610,1.9,47,8111
2373,2.7,58,6081
2071,4.3,21,6555
251,4.4,29,5234
2051,1.0,37,5920
2834,3.0,50,8026
2622,2.7,53,7889
1373,1.9,7,5288
1488,1.5,26,4125
2566,2.4,26,6310
785,4.8,20,5787
4024,2.3,29,7524
44,3.1,27,6224
3162,3.8,63,9660
1965,2.5,68,7681
1595,4.9,60,7418
3953,4.8,47,7920
3083,2.0,18,8013
1031,3.0,3,6016
3471,2.2,34,8098
2623,2.1,63,9317
3853,1.1,48,8080
1510,3.4,16,5702
4808,3.0,43,8620
171,1.2,29,6765
4307,2.1,45,8491
1991,4.6,5,7018
1005,2.0,36,5493
4921,1.6,23,7004
3352,3.0,45,6940
4561,4.9,52,6906
3808,2.0,59,8134
1285,3.7,62,6341
1026,4.0,31,7243
347,2.0,32,4462
888,3.9,66,8201
1086,2.5,17,4826
4897,3.5,24,6585
4003,3.5,53,7131
4869,3.1,57,10432
389,1.4,66,6432
502,4.3,45,6551
2072,2.3,23,6243
3894,1.7,31,7425
74,1.2,46,5415
2578,3.4,22,6677
2037,3.7,65,7702
2705,1.1,26,8517
1505,3.0,1,3808
401,1.9,16,7074
4524,3.6,32,8321
4484,1.7,8,6983
3571,3.8,42,6963
2288,2.5,47,8052
3109,4.7,38,7402
210,1.6,41,4342
4885,2.4,25,8233
3114,1.5,49,8636
4608,4.7,24,8500
2464,4.5,23,5930
3655,2.0,12,5665
