posts,followers
14,0
21,0
21,1863
22,0
49,0
51,427
53,240
55,1326
59,901
72,3862
88,3129
89,1407
92,0
100,4327
103,3576
103,7317
107,2608
122,5656
131,3477
131,2727
135,0
150,4399
152,1312
161,2170
167,3244
170,2848
175,387
188,2223
189,5699
190,5217
192,5306
215,4811
236,6312
242,5621
244,4854
253,7750
258,5058
264,4165
265,8155
271,8353
271,2738
274,7241
277,1954
294,8630
307,4968
309,8457
314,5792
316,7740
320,4420
329,6859
331,7355
340,9637
344,11409
345,9009
346,8470
349,5898
360,5410
364,8734
367,8704
373,9807
386,10344
386,9656
388,6052
414,11447
428,9808
431,8184
436,9391
444,7622
444,9732
446,11971
446,9814
455,8968
459,10272
460,11735
464,8211
467,8943
475,11426
476,8697
485,15297
492,11261
