caption_length,post_hour,hashtag_count,engagement
112,4,27,High
280,22,26,High
116,13,5,Low
81,6,15,Low
198,8,28,High
30,14,2,Low
112,14,19,Low
131,9,27,High
224,12,26,High
97,18,3,Low
109,6,18,Low
161,16,25,High
140,19,2,Low
159,3,18,Low
267,4,19,High
201,22,6,High
286,6,19,High
170,12,8,Low
31,14,0,Low
262,10,7,Low
245,3,6,Low
58,12,17,Low
68,6,7,Low
179,18,0,Low
197,21,10,High
280,1,27,High
199,9,24,High
184,12,24,High
60,20,17,High
64,5,22,Low
253,11,29,High
140,11,9,Low
144,19,2,Low
30,10,6,Low
176,22,27,High
283,6,15,High
98,0,25,High
23,0,15,Low
251,19,24,High
274,12,19,High
62,8,27,High
101,2,16,Low
273,6,1,Low
44,5,0,Low
215,7,15,High
90,8,29,High
59,4,11,Low
11,0,4,Low
63,18,4,Low
115,9,26,High
269,11,22,High
200,23,8,High
227,14,8,Low
53,21,2,Low
171,23,18,High
211,8,15,Low
279,19,15,High
280,16,2,Low
224,16,19,High
261,19,23,High
199,11,21,High
222,6,23,High
217,1,0,Low
246,2,23,High
62,16,19,Low
289,4,10,High
226,16,16,High
261,23,7,High
197,16,3,Low
50,16,5,Low
166,1,7,Low
24,1,19,Low
74,21,29,High
18,22,2,Low
138,4,15,Low
145,0,29,High
72,0,24,Low
148,18,2,Low
90,1,24,High
172,20,28,High
298,11,17,High
270,5,13,High
240,22,17,High
50,3,1,Low
37,22,21,High
144,10,2,Low
210,23,15,High
277,16,28,High
42,5,8,Low
57,23,3,Low
71,4,0,Low
225,19,3,High
108,1,0,Low
181,5,13,Low
223,21,20,High
44,10,15,Low
236,15,19,High
110,15,23,High
140,0,7,Low
266,8,6,Low
