runs_scored,wickets_lost,overs_used,powerplay_runs,boundaries,result
171,3,19.0,65,20,Win
212,2,18.2,62,22,Win
134,5,19.4,33,10,Loss
191,5,19.0,62,15,Win
180,5,15.9,43,23,Win
140,6,19.5,50,20,Win
202,2,17.7,49,17,Win
206,6,19.0,37,24,Win
194,8,19.5,36,12,Loss
194,6,16.6,32,16,Win
207,2,15.6,46,19,Win
219,2,16.1,62,8,Win
143,8,17.1,41,8,Loss
122,2,19.1,51,22,Win
141,9,19.3,51,9,Loss
172,2,15.0,59,23,Win
121,5,17.6,67,15,Loss
207,9,17.1,67,20,Win
149,9,16.1,37,8,Loss
157,8,15.6,56,23,Win
121,4,16.7,56,14,Loss
183,4,19.7,63,12,Win
179,2,16.6,50,10,Win
140,9,17.6,59,19,Loss
152,4,18.5,62,23,Win
195,4,16.8,57,12,Win
177,2,19.9,62,21,Win
141,4,19.8,34,12,Loss
208,6,16.3,48,22,Win
168,3,17.5,33,24,Win
210,8,16.5,64,21,Win
178,3,16.4,46,12,Win
161,2,15.2,57,19,Win
211,5,18.0,59,23,Win
179,8,17.5,58,23,Win
199,2,15.3,35,14,Win
134,9,16.4,64,11,Loss
181,5,19.5,66,8,Loss
181,3,16.2,53,12,Win
166,2,15.7,58,17,Win
181,9,17.4,60,12,Loss
170,8,19.9,64,11,Loss
174,8,16.2,62,9,Loss
183,7,18.4,50,17,Win
122,9,18.8,61,8,Loss
170,6,16.2,52,12,Loss
126,4,18.6,62,20,Win
140,5,16.8,32,11,Loss
192,9,18.2,47,23,Win
158,7,18.2,54,23,Win
137,4,17.7,60,9,Loss
123,4,15.5,32,24,Win
208,2,19.2,69,19,Win
179,4,16.6,53,10,Win
133,6,15.9,61,8,Loss
128,8,15.2,51,8,Loss
209,7,18.0,52,18,Win
172,4,18.4,31,12,Win
121,2,15.1,56,19,Win
203,6,17.6,31,10,Loss
211,3,16.1,55,8,Win
179,8,18.2,46,8,Loss
190,8,15.9,69,15,Win
163,7,18.5,62,17,Win
127,8,16.9,38,18,Loss
166,4,19.7,68,19,Win
154,2,15.7,58,20,Win
197,8,16.7,55,19,Win
200,8,15.6,64,21,Win
155,3,19.6,54,9,Win
169,3,19.4,53,10,Win
123,5,16.3,42,24,Win
121,6,18.3,36,15,Loss
125,4,19.1,65,17,Win
173,8,17.8,49,9,Loss
123,9,17.6,30,16,Loss
173,8,16.2,37,14,Loss
212,2,15.5,45,11,Win
182,5,19.5,43,20,Win
137,6,19.5,41,18,Loss
209,9,18.2,52,11,Loss
163,5,16.7,44,11,Loss
153,7,16.7,57,17,Loss
193,6,18.6,63,12,Win
181,8,19.5,31,16,Loss
219,8,19.4,61,10,Loss
133,6,18.9,52,24,Win
214,8,18.2,51,10,Loss
167,4,15.4,54,23,Win
134,6,15.8,51,11,Loss
191,5,19.5,51,24,Win
197,6,18.0,35,14,Win
206,9,15.0,44,12,Loss
181,8,15.5,66,19,Win
159,4,18.3,62,24,Win
204,4,15.0,37,20,Win
199,7,15.8,34,10,Loss
201,5,17.7,68,16,Win
172,3,18.5,33,24,Win
143,3,18.3,35,24,Win
