runs,strike_rate,wickets,economy,performance_category
91,73.46,1,6.96,Good
88,191.67,0,11.68,Good
61,115.66,1,10.17,Average
96,132.49,1,8.88,Good
0,177.28,2,9.28,Average
26,154.6,1,7.94,Average
61,162.93,1,6.73,Good
76,89.27,2,7.49,Average
2,135.8,1,10.3,Average
69,157.41,1,5.1,Good
71,92.0,1,5.81,Good
26,84.49,0,5.32,Average
8,197.5,0,5.29,Good
61,132.33,0,10.99,Good
36,96.52,2,9.93,Average
96,199.48,4,8.32,Good
50,195.16,1,5.68,Good
43,138.16,1,8.44,Average
23,183.57,2,8.31,Average
78,86.42,1,6.21,Good
58,99.04,0,8.04,Good
31,158.05,4,7.79,Average
95,178.53,3,9.31,Good
87,179.89,1,9.45,Good
51,116.63,0,5.32,Good
61,184.29,3,7.62,Good
57,179.13,4,9.38,Good
51,190.99,3,8.52,Good
11,169.95,0,11.0,Average
38,153.66,3,9.61,Average
1,141.3,2,6.14,Average
2,112.12,3,5.49,Average
55,191.62,1,9.5,Good
80,196.31,1,5.19,Good
58,99.75,2,9.1,Average
1,102.75,0,11.58,Average
1,127.99,1,9.03,Average
91,122.78,4,7.72,Good
53,199.22,1,9.5,Good
86,84.63,1,8.21,Good
95,62.53,0,8.82,Good
96,129.15,3,11.59,Good
0,85.04,1,7.7,Average
18,111.31,2,11.73,Average
1,164.18,3,11.34,Average
52,160.93,4,6.37,Good
43,103.13,0,5.49,Average
89,135.96,4,5.71,Good
31,131.23,3,5.13,Average
69,149.09,3,5.66,Good
31,95.06,3,9.78,Average
67,142.58,4,5.5,Good
54,197.05,3,7.23,Good
74,128.14,4,10.91,Average
55,186.85,3,5.16,Good
16,120.82,2,10.7,Average
37,109.01,3,6.97,Average
23,150.31,4,5.83,Average
68,153.65,1,9.88,Good
97,180.98,3,9.4,Good
69,92.23,1,11.14,Average
85,129.89,2,10.15,Good
10,140.08,0,10.62,Average
15,167.6,2,6.97,Average
96,66.1,3,6.24,Average
72,199.24,1,10.25,Good
58,125.79,1,10.65,Average
69,99.14,4,11.93,Average
79,183.69,1,7.89,Good
92,164.68,4,7.6,Good
2,193.43,0,10.43,Average
19,106.31,3,7.39,Average
58,137.39,4,11.52,Average
35,140.12,0,11.01,Average
18,197.25,1,8.0,Good
89,70.55,1,10.26,Average
66,102.8,0,10.28,Good
18,86.73,1,5.72,Average
19,97.59,0,11.32,Average
95,127.94,4,8.54,Good
