brand,ram_gb,storage_gb,camera_mp,battery_mah,screen_size,price
Realme,6,512,108,5500,6.8,63551
Xiaomi,8,256,12,4000,6.1,47320
OnePlus,4,64,48,5500,6.3,40362
Xiaomi,4,128,48,4000,6.9,41360
Xiaomi,12,64,108,5500,6.4,55353
Apple,8,64,12,4500,5.7,56083
OnePlus,16,128,200,4500,6.9,79557
OnePlus,8,512,200,4500,6.4,72070
OnePlus,12,64,48,4500,6.0,52273
Xiaomi,12,256,12,3000,5.7,48877
Realme,8,64,48,4500,6.7,40201
OnePlus,12,128,64,5000,6.4,59102
Xiaomi,8,128,48,5000,6.3,41991
Apple,6,128,48,3000,6.8,57943
Realme,8,512,200,4500,6.7,74392
Apple,8,64,200,4500,5.7,71502
Realme,12,512,200,4500,6.0,76757
Xiaomi,12,512,64,5500,5.9,59702
Samsung,4,128,200,4000,6.6,60802
Realme,4,128,12,5500,5.6,31980
Apple,6,512,108,4000,6.4,76550
Xiaomi,4,64,12,4500,6.6,34528
Realme,8,256,12,4500,6.8,46745
Samsung,12,512,200,5500,6.0,76071
Samsung,4,64,108,5500,6.7,46559
OnePlus,4,128,108,4000,5.7,46422
OnePlus,6,128,108,5000,6.8,51160
Apple,6,64,64,4000,5.7,58394
Realme,8,256,200,5500,6.1,62025
Realme,12,128,108,5500,6.7,57975
OnePlus,6,128,64,3000,5.7,46199
Realme,4,128,48,5500,5.8,36120
Realme,12,64,48,3000,6.6,51970
Samsung,12,512,64,5000,6.6,66965
OnePlus,4,128,64,4000,6.5,42624
Xiaomi,6,512,200,4000,6.5,68059
OnePlus,4,256,200,3000,6.3,63079
Xiaomi,12,128,48,4000,5.9,50405
Samsung,16,128,108,5500,6.0,62214
Apple,16,256,48,4500,5.8,77988
Realme,8,128,108,3000,6.9,47314
Samsung,4,512,108,4000,6.4,60648
Realme,4,64,200,3000,6.1,47081
Apple,8,512,12,3000,6.2,68207
Apple,8,64,12,4500,6.9,60199
Samsung,8,64,64,5500,5.7,45409
Apple,12,512,200,3000,6.4,95693
Xiaomi,4,512,108,4000,6.3,57297
Apple,12,512,12,5000,6.4,78832
Realme,8,512,108,3000,5.5,60284
Realme,4,256,12,3000,6.8,37872
Realme,12,128,12,4500,6.9,49255
Realme,12,64,12,5500,6.3,41716
Xiaomi,8,512,200,5000,6.5,72244
OnePlus,4,512,48,4000,6.9,58496
Samsung,8,512,108,5000,6.6,65727
Realme,4,256,200,4000,5.7,55673
Apple,16,512,200,5500,6.4,100883
Realme,6,512,200,4000,6.4,69818
Apple,6,512,200,4500,6.1,84749
Apple,6,128,200,4500,6.6,73959
Realme,8,256,64,4500,6.9,52803
Xiaomi,16,512,108,4500,6.9,73299
Apple,4,64,200,5000,6.2,70022
Apple,12,64,108,5500,5.7,68485
Realme,4,64,64,4000,7.0,41875
Apple,12,256,64,4000,6.8,73957
Apple,4,256,108,4500,5.7,64099
Realme,16,64,12,4500,6.9,52895
Realme,12,512,48,3000,6.8,58200
Samsung,8,256,12,5500,6.3,46228
Xiaomi,4,64,12,5000,6.4,35907
Xiaomi,4,64,12,4000,6.1,34155
Apple,12,512,200,3000,5.6,92226
Xiaomi,8,128,64,3000,6.0,42041
Apple,8,256,12,4000,6.7,64151
Samsung,16,512,64,5000,5.5,71186
Realme,8,64,108,3000,6.0,46314
Realme,8,64,48,3000,6.1,42966
Realme,8,512,108,5500,6.3,60443
Xiaomi,6,256,108,5000,6.9,52660
Samsung,16,128,200,3000,6.0,67370
Xiaomi,4,128,48,5000,6.0,39979
Xiaomi,12,64,108,4000,6.6,56147
Samsung,4,256,108,4500,6.2,46966
Samsung,16,128,48,3000,5.8,53022
Samsung,12,256,48,5500,6.2,55084
Samsung,16,256,108,4000,5.7,68167
Realme,8,64,48,5000,5.8,40019
OnePlus,12,128,108,4000,6.2,59630
OnePlus,8,512,108,3000,6.1,63947
Samsung,4,64,200,5000,6.9,54018
OnePlus,4,128,12,4500,6.0,35422
OnePlus,12,128,108,4000,6.4,59425
Samsung,12,128,64,3000,6.4,51798
OnePlus,16,128,12,5500,5.5,57655
Xiaomi,16,128,12,5000,6.5,53708
Apple,8,256,12,4000,5.8,58628
Apple,12,64,200,4000,6.9,87239
Samsung,4,256,108,4500,5.7,47502
Realme,16,512,200,4500,6.1,84244
Samsung,16,128,108,5500,5.6,66432
Realme,4,64,200,5500,7.0,50530
Apple,16,128,200,3000,6.3,88387
Samsung,8,64,64,3000,6.4,44984
Xiaomi,12,256,200,5500,5.6,67032
OnePlus,4,64,48,5500,6.6,44380
Realme,12,512,64,5000,5.8,60414
OnePlus,16,512,200,4500,6.8,89018
OnePlus,16,64,12,3000,5.8,53683
Samsung,4,64,48,4500,5.8,36623
OnePlus,8,64,48,4500,5.6,43422
Xiaomi,6,64,48,5500,6.2,41661
OnePlus,4,512,64,5000,6.3,59257
Samsung,6,128,200,4000,5.6,57327
Xiaomi,6,64,200,5000,6.7,55766
Apple,8,64,12,5000,6.2,54809
OnePlus,6,512,12,4500,6.3,53302
Samsung,6,512,48,5000,6.2,59974
Apple,8,256,12,3000,6.1,62555
Apple,6,64,64,4500,6.3,56789
Realme,6,256,200,3000,5.7,57609
Xiaomi,6,512,48,4000,5.8,50834
OnePlus,4,512,12,4500,6.8,54377
Samsung,4,128,64,4000,6.9,45026
Realme,4,64,64,4500,6.1,39037
Xiaomi,8,256,12,5500,5.9,42628
Realme,16,512,200,5000,6.5,83569
Xiaomi,6,512,12,5500,6.1,46112
Xiaomi,6,256,48,4000,5.5,40465
OnePlus,8,128,12,5000,5.7,46408
Xiaomi,6,512,64,4500,6.6,53908
Realme,4,64,12,5000,6.5,31438
Xiaomi,16,512,200,3000,5.5,80343
OnePlus,12,64,108,5000,5.8,60009
OnePlus,6,256,12,3000,5.8,42658
Realme,4,64,200,5000,6.5,44958
Apple,12,256,200,3000,5.5,81939
Apple,16,64,64,4000,5.7,73831
Xiaomi,12,256,200,5500,6.7,72216
Samsung,4,64,200,4500,5.8,55217
Xiaomi,12,128,200,5000,6.5,64576
Realme,8,64,200,5500,5.9,53091
Realme,12,64,48,4500,5.6,46695
Realme,6,128,48,4500,5.9,40070
Realme,6,512,64,3000,6.6,54671
Realme,8,512,12,4000,6.8,54825
OnePlus,4,64,200,4000,6.7,58863
Apple,6,128,12,5500,6.1,55901
Realme,16,64,12,4000,6.5,52050
Samsung,6,256,64,5000,5.8,48984
Samsung,6,256,200,4000,5.9,63094
Samsung,4,64,200,5500,6.8,58087
Samsung,12,512,108,4000,5.5,70723
OnePlus,6,512,12,5000,5.6,51561
Samsung,8,64,12,3000,5.8,39981
Realme,12,64,48,5500,5.5,45229
Xiaomi,16,256,108,3000,5.8,62712
Samsung,4,512,48,3000,6.4,50480
OnePlus,16,64,48,3000,6.1,59509
OnePlus,12,256,48,4500,6.8,61966
Samsung,12,512,64,4500,6.7,67910
Xiaomi,12,128,64,3000,6.0,50288
Samsung,16,256,48,5500,5.9,61936
OnePlus,12,512,108,5000,6.1,74595
Apple,16,512,12,5000,6.4,79281
Realme,12,256,108,4000,5.9,58229
OnePlus,8,128,200,5500,6.4,65969
Samsung,12,256,64,4500,6.1,59136
Realme,16,512,12,3000,6.3,60259
Samsung,6,64,12,4000,6.2,40710
Samsung,12,64,200,5000,5.9,65547
Apple,6,256,200,4500,6.9,80163
Realme,8,512,48,4500,6.6,55407
Realme,4,64,64,3000,5.7,35996
Apple,8,512,64,5000,6.8,76755
OnePlus,12,256,108,5500,6.2,68247
Samsung,6,64,48,4500,6.8,40487
Xiaomi,6,512,48,3000,6.7,54111
Samsung,16,64,48,5500,6.1,57587
Samsung,6,256,48,5000,5.5,45107
OnePlus,16,512,64,4500,5.9,72900
Samsung,4,64,64,5500,6.3,40244
Apple,12,256,48,5500,6.5,73079
Apple,16,64,108,5500,5.9,73550
Realme,4,64,12,4500,5.7,32400
Xiaomi,6,128,12,4500,6.8,38729
Samsung,6,128,108,4000,7.0,51895
Samsung,4,256,48,5000,6.3,45614
OnePlus,6,128,64,3000,5.8,45088
Apple,4,256,12,5500,5.9,55067
Xiaomi,16,128,200,4000,5.5,65269
Realme,16,64,200,3000,6.9,71584
Apple,4,256,108,4000,5.7,65740
Realme,16,256,48,4500,6.4,56528
OnePlus,16,64,12,5500,5.9,54757
OnePlus,16,256,48,3000,6.3,62420
Samsung,8,256,12,3000,6.5,46524
Xiaomi,12,128,108,3000,6.7,58537
Realme,6,256,108,3000,5.8,50354
