track_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode
66,0.748,0.916,-2.634,0.0583,0.102,0.0,0.0653,0.518,122.036,194754,6,1
67,0.726,0.815,-4.969,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600,11,1
70,0.675,0.931,-3.432,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616,1,0
60,0.718,0.93,-3.778,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093,7,1
69,0.65,0.833,-4.672,0.0359,0.0803,0.0,0.0833,0.725,123.976,189052,1,1
67,0.675,0.919,-5.385,0.127,0.0799,0.0,0.143,0.585,124.982,163049,8,1
62,0.449,0.856,-4.788,0.0623,0.187,0.0,0.176,0.152,112.648,187675,5,0
69,0.542,0.903,-2.419,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619,4,0
68,0.594,0.935,-3.562,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187,8,1
67,0.642,0.818,-4.552,0.032,0.0567,0.0,0.0919,0.59,124.957,253040,2,1
58,0.679,0.923,-6.5,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894,6,1
67,0.437,0.774,-4.918,0.0554,0.148,0.0,0.133,0.329,123.125,203733,8,1
67,0.744,0.726,-4.675,0.0463,0.0399,0.0,0.374,0.687,121.985,192507,1,1
68,0.572,0.915,-4.451,0.0625,0.0111,0.0,0.339,0.678,123.919,164516,5,0
63,0.69,0.78,-4.446,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238,5,0
66,0.805,0.835,-4.603,0.0896,0.13,5.03e-06,0.365,0.722,125.028,188230,0,1
60,0.694,0.901,-4.322,0.0948,0.0702,0.0,0.427,0.368,118.051,173548,1,0
65,0.678,0.747,-5.289,0.165,0.0395,0.0,0.174,0.516,120.002,189375,10,0
69,0.746,0.557,-6.722,0.0542,0.103,0.0036,0.138,0.324,111.961,159404,1,1
35,0.467,0.821,-5.466,0.0934,0.00791,0.000441,0.131,0.232,122.676,185366,7,1
70,0.572,0.934,-5.053,0.0446,0.00292,0.0198,0.105,0.204,125.948,215238,6,0
64,0.708,0.913,-4.329,0.0348,0.089,0.081,0.113,0.707,135.016,170667,9,0
62,0.684,0.818,-4.477,0.128,0.0469,3.39e-06,0.119,0.336,123.938,210968,4,0
70,0.732,0.85,-5.999,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,193548,1,1
58,0.62,0.889,-3.785,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,205093,11,1
63,0.675,0.76,-7.037,0.0434,0.104,0.0,0.33,0.468,124.933,172800,11,1
66,0.682,0.851,-7.117,0.0363,0.0146,0.000834,0.0289,0.348,126.0,192381,1,0
8,0.663,0.905,-3.781,0.0511,0.0325,0.0,0.333,0.397,125.996,175000,1,0
