restaurant_id,restaurant_name,city,cuisines,average_cost_for_two,price_range,aggregate_rating,votes,online_order,table_booking,delivery_time_mins
1,Spice Garden,Mumbai,Indian,800,2,4.2,1500,1,0,30
2,Pizza Palace,Delhi,Italian,1200,3,3.8,890,1,1,45
3,Burger Barn,Bangalore,American,600,1,3.5,450,1,0,25
4,Sushi Stop,Mumbai,Japanese,2500,4,4.6,2300,0,1,60
5,Curry House,Chennai,Indian,700,2,4.0,1100,1,0,35
6,The Grill,Delhi,Continental,1800,3,4.3,1750,0,1,50
7,Wok Express,Bangalore,Chinese,900,2,3.7,670,1,0,30
8,Tandoor Tales,Hyderabad,Indian,650,1,3.9,980,1,0,25
9,Pasta Point,Mumbai,Italian,1500,3,4.1,1200,1,1,40
10,Biryani Bros,Chennai,Indian,550,1,4.4,2100,1,0,20
11,The Steakhouse,Delhi,American,3000,4,4.7,3200,0,1,55
12,Dosa Delight,Bangalore,South Indian,400,1,4.2,1800,1,0,20
13,Noodle Nation,Mumbai,Chinese,850,2,3.6,540,1,0,30
14,Royal Feast,Hyderabad,Mughlai,1100,2,4.0,1350,1,1,40
15,Green Bowl,Delhi,Healthy,1300,3,4.5,2200,1,1,35
16,Kebab King,Mumbai,Mughlai,950,2,3.8,780,1,0,30
17,Taco Town,Bangalore,Mexican,700,2,3.4,320,1,0,25
18,The Buffet,Chennai,Multi-cuisine,1600,3,4.1,1600,0,1,45
19,Pav Bhaji Place,Mumbai,Street Food,300,1,4.3,2500,1,0,15
20,Fine Dine,Delhi,Continental,4000,4,4.8,4100,0,1,65
21,Chaat Corner,Hyderabad,Street Food,250,1,4.0,1900,1,0,15
22,BBQ Nation,Bangalore,Barbecue,1800,3,4.4,2800,0,1,50
23,Idli Inn,Chennai,South Indian,350,1,4.1,1400,1,0,20
24,Fusion Kitchen,Mumbai,Fusion,2200,4,4.5,1950,1,1,45
25,Dhaba Express,Delhi,Punjabi,600,1,3.7,650,1,0,25
26,Sea Food Shack,Bangalore,Seafood,1700,3,4.2,1100,0,1,50
27,Maharaja Feast,Hyderabad,Indian,900,2,4.0,1250,1,0,35
28,Waffle World,Mumbai,Desserts,500,1,3.9,870,1,0,20
29,Steak Street,Delhi,American,2800,4,4.6,2900,0,1,60
30,Rice Bowl,Chennai,Chinese,750,2,3.8,580,1,0,30
