player_name,matches,runs,average,strike_rate,wickets,economy,team
Rohit Sharma,230,6200.0,32.5,130.2,,,MI
Virat Kohli,237,7200.0,37.8,129.8,,,RCB
MS Dhoni,250,5000.0,38.0,135.6,,,CSK
KL Rahul,115,,,138.9,,,PBKS
Hardik Pandya,92,2400.0,28.4,147.2,55.0,8.9,MI
Jasprit Bumrah,120,,,,145.0,7.4,MI
Ravindra Jadeja,210,2800.0,24.6,127.4,130.0,7.6,CSK
Shubman Gill,85,2100.0,35.2,132.1,,,GT
Suryakumar Yadav,140,3500.0,40.1,175.3,,,MI
David Warner,175,6100.0,42.3,140.7,,,
Rishabh Pant,98,3200.0,35.8,148.5,,,DC
Andre Russell,115,2900.0,29.7,177.8,65.0,9.1,KKR
Kieron Pollard,189,3600.0,28.4,147.0,70.0,8.5,MI
Rashid Khan,95,,,,120.0,6.6,GT
Jos Buttler,130,4200.0,38.9,150.2,,,RR
