transaction_id,user_id,transaction_amount,category,status
9001,4,561.37,Bills,Failed
9002,10,1625.93,Travel,Pending
9003,5,4899.6,Food,Success
9004,9,85000.0,Shopping,Success
9005,3,184.09,Shopping,Failed
9006,17,3840.49,Travel,Failed
9007,3,4053.87,Food,Failed
9008,16,1796.89,Food,Success
9009,4,2376.9,Shopping,Pending
9010,18,3283.89,Bills,Success
9011,17,335.49,Shopping,Pending
9012,7,4750.81,Food,Success
9013,5,4444.73,Travel,Pending
9014,12,1378.38,Shopping,Success
9015,17,174.99,Food,Failed
9016,13,92000.0,Shopping,Success
9017,3,2555.1,Bills,Pending
9018,9,2742.95,Shopping,Success
9019,17,3451.42,Shopping,Success
9020,17,3117.67,Food,Success
9021,16,4725.07,Food,Failed
9022,13,4726.83,Food,Success
9023,19,4349.27,Shopping,Failed
9024,17,3218.38,Bills,Failed
9025,4,4024.65,Travel,Success
9026,12,3418.12,Travel,Success
9027,9,2909.5,Food,Success
9028,19,729.65,Food,Pending
9029,12,4074.9,Shopping,Success
9030,9,4121.13,Travel,Failed
9031,7,3167.1,Food,Success
9032,14,4120.09,Bills,Pending
9033,19,3292.28,Bills,Success
9034,15,1112.75,Food,Pending
9035,16,1442.41,Food,Pending
9036,5,1151.49,Travel,Success
9037,3,1948.57,Travel,Failed
9038,12,290.92,Shopping,Pending
9039,4,78000.0,Travel,Success
9040,16,1749.12,Bills,Success
9041,7,3313.04,Bills,Failed
9042,13,1988.44,Food,Pending
9043,10,3439.91,Travel,Pending
9044,7,1769.06,Shopping,Success
9045,14,1377.4,Bills,Success
9046,5,2530.58,Bills,Failed
9047,3,3495.16,Shopping,Failed
9048,11,500.0,Shopping,Pending
9049,11,4689.58,Bills,Pending
9050,18,292.01,Bills,Success
