order_id,customer,item,order_amount,delivery_time,rating
1001,User_0,Biryani,267.69,56,4.3
1002,User_1,Burger,201.43,43,3.7
1003,User_2,Noodles,442.62,48,3.3
1004,User_3,Noodles,789.96,50,5.0
1005,User_4,Biryani,269.44,54,4.7
1006,User_5,Burger,570.49,52,4.7
1007,User_6,Biryani,633.13,40,3.5
1008,User_7,Burger,266.35,51,3.1
1009,User_8,Sushi,5000.0,42,3.6
1010,User_9,Pizza,357.45,52,4.1
1011,User_10,Pizza,542.61,22,3.7
1012,User_11,Pizza,543.47,37,4.7
1013,User_12,Biryani,475.04,44,3.5
1014,User_13,Sushi,163.2,50,4.9
1015,User_14,Burger,684.71,22,3.9
1016,User_15,Noodles,324.55,59,4.7
1017,User_16,Burger,230.56,43,3.4
1018,User_17,Noodles,128.54,51,3.8
1019,User_18,Burger,513.63,41,4.4
1020,User_19,Sushi,574.3,42,3.3
1021,User_20,Noodles,111.61,21,3.3
1022,User_21,Biryani,458.47,46,4.9
1023,User_22,Burger,258.55,21,4.4
1024,User_23,Burger,4800.0,45,3.1
1025,User_24,Noodles,222.06,36,3.8
1026,User_25,Biryani,583.66,59,3.9
1027,User_26,Biryani,370.71,52,4.5
1028,User_27,Sushi,755.71,28,3.5
1029,User_28,Biryani,196.26,58,3.4
1030,User_29,Biryani,338.75,48,3.2
1031,User_30,Biryani,179.43,45,3.9
1032,User_31,Pizza,747.29,54,4.4
1033,User_32,Sushi,714.14,44,3.1
1034,User_33,Burger,280.56,43,4.8
1035,User_34,Noodles,561.99,32,3.9
1036,User_35,Burger,672.06,26,3.5
1037,User_36,Sushi,488.64,55,3.2
1038,User_37,Noodles,470.76,39,3.4
1039,User_38,Sushi,269.3,20,4.9
1040,User_39,Biryani,165.17,27,4.3
1041,User_40,Noodles,728.05,35,4.0
1042,User_41,Biryani,6500.0,33,4.3
1043,User_42,Burger,543.17,31,3.9
1044,User_43,Burger,337.32,42,4.5
1045,User_44,Noodles,344.45,34,3.1
1046,User_45,Noodles,608.17,47,4.1
1047,User_46,Sushi,727.98,53,3.3
1048,User_47,Sushi,720.96,21,3.2
1049,User_48,Biryani,645.91,51,3.7
1050,User_49,Noodles,549.42,42,3.2
