CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,22,29.0,76.7
2,Male,35,23.9,65.0
3,Male,45,30.2,76.4
4,Male,59,37.2,78.1
5,Male,39,23.1,67.9
6,Male,38,23.1,76.2
7,Female,23,37.6,75.5
8,Male,18,31.1,65.9
9,Female,22,21.2,77.9
10,Female,58,29.3,79.5
11,Male,29,21.3,83.7
12,Male,43,21.3,83.4
13,Female,63,26.9,64.0
14,Male,51,15.0,67.5
15,Male,66,15.0,79.1
16,Female,31,20.5,79.1
17,Female,43,16.9,79.1
18,Male,62,27.5,99.0
19,Female,44,17.7,79.6
20,Male,26,15.0,84.1
21,Male,43,36.7,82.6
22,Male,64,23.2,80.2
23,Female,39,25.5,72.5
24,Female,64,15.0,81.1
25,Female,47,20.6,68.8
26,Female,60,25.9,73.1
27,Female,65,15.8,71.1
28,Male,34,28.0,75.7
29,Male,43,20.2,93.5
30,Male,53,22.7,60.1
31,Male,18,20.2,80.5
32,Female,25,39.8,62.1
33,Male,66,24.9,71.2
34,Female,52,16.5,83.7
35,Male,69,31.6,75.5
36,Female,32,15.2,66.4
37,Female,64,26.7,69.3
38,Male,39,15.0,80.4
39,Male,31,15.0,69.2
40,Male,43,26.6,76.7
41,Male,45,62.4,50.5
42,Female,40,56.7,43.5
43,Male,31,53.8,71.4
44,Male,41,52.0,56.3
45,Female,19,40.2,29.7
46,Male,62,47.8,51.9
47,Male,43,50.4,43.4
48,Male,31,65.6,58.5
49,Male,68,58.4,42.1
50,Male,24,37.4,48.9
51,Female,20,58.2,55.0
52,Male,64,51.1,58.7
53,Male,40,48.2,38.0
54,Male,63,61.1,46.7
55,Male,60,65.3,45.3
56,Male,64,64.3,43.5
57,Female,62,46.6,67.7
58,Male,35,51.9,54.0
59,Female,55,58.3,37.4
60,Female,52,64.8,59.2
61,Male,68,50.2,71.2
62,Male,32,53.1,60.3
63,Male,42,43.9,34.8
64,Male,54,43.0,45.2
65,Female,45,63.1,62.7
66,Male,27,68.6,42.9
67,Male,56,54.3,54.4
68,Male,34,65.0,57.7
69,Male,56,58.6,40.7
70,Male,39,48.5,49.4
71,Male,43,58.6,17.6
72,Female,61,70.4,39.8
73,Female,42,54.6,47.5
74,Male,34,70.6,37.5
75,Male,30,28.8,66.3
76,Male,37,63.2,35.7
77,Female,42,55.9,45.6
78,Male,21,52.0,51.3
79,Female,27,55.9,64.4
80,Male,20,35.1,35.6
81,Male,58,52.8,61.6
82,Male,62,58.6,50.1
83,Male,35,69.8,40.2
84,Female,64,49.8,54.6
85,Female,53,46.9,52.0
86,Male,64,50.0,44.0
87,Male,39,64.2,50.7
88,Female,51,58.3,46.1
89,Female,64,49.7,51.1
90,Female,25,60.1,56.6
91,Female,57,56.0,65.9
92,Male,66,64.7,37.6
93,Female,61,48.0,71.3
94,Male,36,51.7,30.5
95,Female,59,51.1,48.5
96,Female,58,40.4,55.9
97,Female,54,58.0,52.8
98,Female,23,57.6,43.8
99,Female,69,55.1,47.9
100,Male,43,52.7,45.1
101,Male,51,73.7,75.3
102,Female,62,81.6,86.8
103,Female,23,82.3,82.9
104,Male,54,78.6,74.5
105,Female,50,83.7,87.2
106,Female,39,88.2,82.5
107,Male,38,100.1,86.5
108,Female,23,86.4,85.0
109,Female,23,87.1,73.4
110,Male,65,84.4,75.5
111,Male,21,69.6,86.0
112,Male,47,84.8,84.9
113,Female,28,85.5,79.8
114,Male,47,104.7,80.9
115,Male,48,83.5,90.2
